Experiment: 20250413_045355
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 20

20 vertexes:
Attempt 15: 55.440499912947416ms
Attempt 16: 54.774200078099966ms
Attempt 17: 54.32179989293218ms
Attempt 18: 54.430400021374226ms
Attempt 19: 53.92770003527403ms
Attempt 20: 55.027099791914225ms
Average time: 54.816354997456074ms
340 vertexes:
Attempt 1: 59.22419996932149ms
Attempt 2: 60.11029984802008ms
Attempt 3: 59.15520014241338ms
Attempt 4: 58.68439981713891ms
Attempt 5: 60.145600233227015ms
Attempt 6: 59.18109975755215ms
Attempt 7: 58.554899878799915ms
Attempt 8: 59.319499880075455ms
Attempt 9: 59.762599878013134ms
Attempt 10: 59.117100201547146ms
Attempt 11: 59.42350020632148ms
Attempt 12: 58.97340038791299ms
Attempt 13: 58.879700023680925ms
Attempt 14: 58.64090006798506ms
Attempt 15: 60.24749996140599ms
Attempt 16: 58.67030005902052ms
Attempt 17: 59.164300095289946ms
Attempt 18: 59.32370014488697ms
Attempt 19: 58.87509975582361ms
Attempt 20: 59.443899895995855ms
Average time: 59.2448600102216ms
350 vertexes:
Attempt 1: 64.29930031299591ms
Attempt 2: 65.04550017416477ms
Attempt 3: 64.52589994296432ms
Attempt 4: 63.86809982359409ms
Attempt 5: 64.84919972717762ms
Attempt 6: 63.50639974698424ms
Attempt 7: 65.78190019354224ms
Attempt 8: 64.65509999543428ms
Attempt 9: 65.01680007204413ms
Attempt 10: 68.045100197196ms
Attempt 11: 63.84789990261197ms
Attempt 12: 65.44389994814992ms
Attempt 13: 64.29769983515143ms
Attempt 14: 65.35390019416809ms
Attempt 15: 63.778700307011604ms
Attempt 16: 64.45550033822656ms
Attempt 17: 65.18589984625578ms
Attempt 18: 65.48599991947412ms
Attempt 19: 64.73200023174286ms
Attempt 20: 63.952900003641844ms
Average time: 64.80638503562659ms
360 vertexes:
Attempt 1: 69.5613999851048ms
Attempt 2: 70.45470038428903ms
Attempt 3: 71.21719978749752ms
Attempt 4: 69.52490005642176ms
Attempt 5: 69.16580023244023ms
Attempt 6: 70.4657998867333ms
Attempt 7: 69.9817999266088ms
Attempt 8: 71.56790001317859ms
Attempt 9: 70.1155997812748ms
Attempt 10: 69.65479999780655ms
Attempt 11: 69.40330006182194ms
Attempt 12: 69.68339998275042ms
Attempt 13: 70.88050013408065ms
Attempt 14: 71.5433000586927ms
Attempt 15: 70.09789999574423ms
Attempt 16: 70.0566996820271ms
Attempt 17: 69.68790013343096ms
Attempt 18: 69.81420004740357ms
Attempt 19: 77.51550013199449ms
Attempt 20: 71.51539996266365ms
Average time: 70.59540001209825ms
370 vertexes:
